time,temp
1851,3.145
1852,3.1243545
1853,3.1593423
1854,3.1568832
1855,3.16903423
1856,3.170924
1857,3.204353
1858,3.220424534
1859,3.2504334
1860,3.2602345
1861,3.276741023
1862,3.333200661
1863,3.406221643
1864,3.488266551
1865,3.588924061
1866,3.67208668
1867,3.696289496
1868,3.741157686
1869,3.76515078
1870,3.808027394
1871,3.825792674
1872,3.874049597
1873,3.84078794
1874,3.779376942
1875,3.752763003
1876,3.65191255
1877,3.614433643
1878,3.631463034
1879,3.610283768
1880,3.611534463
1881,3.674752775
1882,3.696920761
1883,3.652523188
1884,3.600211031
1885,3.542805839
1886,3.477820181
1887,3.412593879
1888,3.446831384
1889,3.419294586
1890,3.406953353
1891,3.383420313
1892,3.437482101
1893,3.401474796
1894,3.382894604
1895,3.378921441
1896,3.433763535
1897,3.468221587
1898,3.507216659
1899,3.551897638
1900,3.586176915
1901,3.618184589
1902,3.622543516
1903,3.656292583
1904,3.680737903
1905,3.69812822
1906,3.752364741
1907,3.759433178
1908,3.786219519
1909,3.802332728
1910,3.85398601
1911,3.893533605
1912,3.921943625
1913,3.899805325
1914,3.870979744
1915,3.883936252
1916,3.903392638
1917,3.896841024
1918,3.865463177
1919,3.872568197
1920,3.827372994
1921,3.808466546
1922,3.774744562
1923,3.829630585
1924,3.824543768
1925,3.852206126
1926,3.853919978
1927,3.860512652
1928,3.870989079
1929,3.869645173
1930,3.863121633
1931,3.818176149
1932,3.799267102
1933,3.790259898
1934,3.851404116
1935,3.915192734
1936,3.906809497
1937,3.91805707
1938,3.910559235
1939,3.904574517
1940,3.894712264
1941,3.921173333
1942,3.936147897
1943,3.895596736
1944,3.833067013
1945,3.822726491
1946,3.808660968
1947,3.830326738
1948,3.783689197
1949,3.766729174
1950,3.725075202
1951,3.727259667
1952,3.731286936
1953,3.665357872
1954,3.648051708
1955,3.59007377
1956,3.528336982
1957,3.553551054
1958,3.538041131
1959,3.520251462
1960,3.551064839
1961,3.521133619
1962,3.509677809
1963,3.533845216
1964,3.579741499
1965,3.602215392
1966,3.603792308
1967,3.570194574
1968,3.544222065
1969,3.591731009
1970,3.56220947
1971,3.576597836
1972,3.567139413
1973,3.588804621
1974,3.625272552
1975,3.639484653
1976,3.650602328
1977,3.656688541
1978,3.607259539
1979,3.612170221
1980,3.668147321
1981,3.636133249
1982,3.634132623
1983,3.63109223
1984,3.611802594
1985,3.595141705
1986,3.618982912
1987,3.617405181
1988,3.623012315
1989,3.604420562
1990,3.582490086
1991,3.58021228
1992,3.592787154
1993,3.596052038
1994,3.598256273
1995,3.582527311
1996,3.586651009
1997,3.54841377
1998,3.552663102
1999,3.58290496
2000,3.561812557
2001,3.563292533
2002,3.567348671
2003,3.559222344
2004,3.561765709
2005,3.592787154
2006,3.596052038
2007,3.54841377
2008,3.582527311
2009,3.586651009
2010,3.52841377
2011,3.552663102
2012,3.58290496
2013,3.581812557
2014,3.563292533